lambda,flux
3540.6360,1.263094e-14
3542.3818,1.202082e-14
3544.1276,1.259093e-14
3545.8734,1.120067e-14
3547.6192,1.108065e-14
3549.3649,1.160075e-14
3551.1107,1.150073e-14
3552.8565,1.107065e-14
3554.6023,1.093062e-14
3556.3481,1.106065e-14
3558.0939,1.066057e-14
3559.8397,9.757408e-15
3561.5855,8.670207e-15
3563.3313,8.777226e-15
3565.0770,9.212307e-15
3566.8228,9.192303e-15
3568.5686,9.473355e-15
3570.3144,9.289321e-15
3572.0602,8.542183e-15
3573.8060,8.479172e-15
3575.5518,7.777042e-15
3577.2976,7.380970e-15
3579.0434,7.324959e-15
3580.7891,7.894064e-15
3582.5349,8.625198e-15
3584.2807,9.773410e-15
3586.0265,1.097063e-14
3587.7723,1.240089e-14
3589.5181,1.363012e-14
3591.2639,1.419022e-14
3593.0097,1.480034e-14
3594.7555,1.429024e-14
3596.5012,1.405020e-14
3598.2470,1.341008e-14
3599.9928,1.249091e-14
3601.7386,1.234088e-14
3603.4844,1.240089e-14
3605.2302,1.254092e-14
3606.9760,1.233088e-14
3608.7218,1.190080e-14
3610.4676,1.245090e-14
3612.2133,1.326005e-14
3613.9591,1.296100e-14
3615.7049,1.386016e-14
3617.4507,1.431025e-14
3619.1965,1.502038e-14
3620.9423,1.526042e-14
3622.6881,1.519041e-14
3624.4339,1.494036e-14
3626.1797,1.402019e-14
3627.9255,1.383016e-14
3629.6712,1.455029e-14
3631.4170,1.490035e-14
3633.1628,1.526042e-14
3634.9086,1.557048e-14
3636.6544,1.509039e-14
3638.4002,1.454029e-14
3640.1460,1.407020e-14
3641.8918,1.417022e-14
3643.6376,1.421023e-14
3645.3833,1.517041e-14
3647.1291,1.626061e-14
3648.8749,1.773088e-14
3650.6207,1.900011e-14
3652.3665,1.958022e-14
3654.1123,2.013032e-14
3655.8581,2.081044e-14
3657.6039,1.971024e-14
3659.3497,1.941019e-14
3661.0954,1.930017e-14
3662.8412,1.898011e-14
3664.5870,1.819096e-14
3666.3328,1.891010e-14
3668.0786,1.817096e-14
3669.8244,1.860004e-14
3671.5702,1.725079e-14
3673.3160,1.788090e-14
3675.0618,1.681071e-14
3676.8075,1.611058e-14
3678.5533,1.614058e-14
3680.2991,1.631062e-14
3682.0449,1.637063e-14
3683.7907,1.731080e-14
3685.5365,1.771087e-14
3687.2823,1.870006e-14
3689.0281,1.911013e-14
3690.7739,1.978026e-14
3692.5196,1.999029e-14
3694.2654,1.955021e-14
3696.0112,1.853002e-14
3697.7570,1.770087e-14
3699.5028,1.598055e-14
3701.2486,1.584053e-14
3702.9944,1.632062e-14
3704.7402,1.747083e-14
3706.4860,1.769087e-14
3708.2317,1.799093e-14
3709.9775,1.767087e-14
3711.7233,1.607057e-14
3713.4691,1.464031e-14
3715.2149,1.414022e-14
3716.9607,1.418022e-14
3718.7065,1.406020e-14
3720.4523,1.523042e-14
3722.1981,1.441026e-14
3723.9438,1.298000e-14
3725.6896,1.266094e-14
3727.4354,1.172077e-14
3729.1812,1.124068e-14
3730.9270,1.163075e-14
3732.6728,1.260093e-14
3734.4186,1.280097e-14
3736.1644,1.282097e-14
3737.9102,1.214085e-14
3739.6559,1.140071e-14
3741.4017,1.116067e-14
3743.1475,1.151073e-14
3744.8933,1.277096e-14
3746.6391,1.426024e-14
3748.3849,1.494036e-14
3750.1307,1.543045e-14
3751.8765,1.527042e-14
3753.6223,1.501038e-14
3755.3680,1.535044e-14
3757.1138,1.519041e-14
3758.8596,1.551047e-14
3760.6054,1.567050e-14
3762.3512,1.584053e-14
3764.0970,1.661067e-14
3765.8428,1.747083e-14
3767.5886,1.873006e-14
3769.3344,1.955021e-14
3771.0801,1.967023e-14
3772.8259,2.025034e-14
3774.5717,1.954021e-14
3776.3175,1.934017e-14
3778.0633,1.839100e-14
3779.8091,1.790091e-14
3781.5549,1.725079e-14
